,T_Dataset,T_Stride,T_Epochs,T_Dataset2,T_Stride2,T_Epochs2,A_Depth,A_Repetitions,A_InitChannels,T_DataAug,A_MSUpsampling,A_ASPP,A_HyperDense,A_Module,T_Loss,T_Optimizer,A_DropoutRate,A_LvlGrowth,A_Strategy,T_LearningRate,A_KernelInitializer,T_BatchSize,A_KernelSize,A_OutChannels,A_MaxPooling,P_ElementSize,D_MaxSize,D_fs,T_Window,T_Seed,T_LRPatience,T_Patience,T_ValidationSplit
97,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
98,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
99,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
100,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,manual0,64,250,,,,4,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
102,manual0,64,250,,,,5,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
103,manual0,64,250,,,,6,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
104,manual0,64,250,,,,7,3,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
105,manual0,64,250,,,,5,2,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
106,manual0,64,250,,,,5,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
107,manual0,64,250,,,,5,3,16,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
108,manual0,64,250,,,,5,3,64,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
